provinsi;kabupaten;kecamatan;status_kecukupan_mbg_daging_sapi;status_kecukupan_mbg_daging_ayam;status_kecukupan_mbg_telur_ayam;koord_camat;koord_polsek;koord_koramil;jumlah_pendidik_tenaga_pendidikan;jumlah_tenaga_kesehatan;jumlah_posyandu;jumlah_puskesmas;jumlah_kelompok_belajar;jumlah_taman_kanak_kanak;jumlah_siswa_pra_sekolah;jumlah_sd_mi;jumlah_siswa_sd_mi;jumlah_smp_mts;jumlah_siswa_smp_mts;jumlah_sma_ma;jumlah_siswa_sma_ma;jumlah_siswa_slb_disabel;jumlah_santri;jumlah_k1;jumlah_asi_ekslusif;jumlah_ibu_hamil;jumlah_ibu_menyusui;balita_0_4_tahun;permintaan_daging_sapi_mbg;permintaan_daging_ayam_ras_mbg;permintaan_telur_ayam_ras_mbg;populasi_sapi_kerbau;populasi_ayam_ras_pedaging;populasi_ayam_ras_petelur;populasi_ayam_lokal_buras;populasi_itik;populasi_kambing;potensi_produksi_daging_sapi;potensi_produksi_daging_ayam_ras;potensi_produksi_telur_ayam_ras;pemenuhan_potensial_produk_daging_sapi_pemenuhan_mbg;pemenuhan_potensial_produk_daging_ayam_ras_pemenuhan_mbg;pemenuhan_potensial_produk_telur_ayam_ras_pemenuhan_mbg;jumlah_peternak_ayam_ras_pedaging;jumlah_peternak_ayam_ras_petelur;jumlah_peternak_sapi_kerbau;jumlah_peternak_kambing_domba;jumlah_peternak_ayam_lokal_buras;jumlah_peternak_itik;jumlah_rph_tph_r;jumlah_rph_tph_tugas;jumlah_cold_storage_gudang_pendingin;jumlah_gudang_kering
Kalimantan Barat;Bengkayang;bengkayang;tidak_cukup;tidak_cukup;sangat_cukup;1.1020364824146296, 109.44167469892714;0.8428469705203031, 109.48337676061891;0.9865291480562267, 109.48437178743164;851;280;0;17;4;6;602;22;4.375;12;2.230;14;3.231;77;518;5.378;0;0;0;0;67.311,30;83.959,20;102.885,30;861;141.359;25.739;8.268;245;186;24.880,49;8.681,56;383.889,98;36,96%;10,34%;373,12%;0;1;1;0;0;0;2;4;0;0
Kalimantan Barat;Bengkayang;capkala;tidak_cukup;tidak_cukup;sangat_cukup;0.7571451746672484, 109.02552564938458;0.6740042277573243, 109.01596901628844;;253;42;0;0;4;0;62;10;1.073;3;397;1;311;0;0;0;0;0;0;0;3.892,30;5.430,20;5.817,30;27;28.409;568;4.008;120;207;780,22;1.744,74;8.471,56;20,05%;32,13%;145,63%;10;1;0;0;0;0;0;0;0;0
Kalimantan Barat;Bengkayang;jagoi babang;sangat_cukup;tidak_cukup;tidak_cukup;1.3225117576582082, 109.91252128033538;1.331736943919598, 109.87589040766827;1.5091267163365443, 109.87847631970808;514;44;0;0;6;1;219;18;1.847;7;628;4;583;36;0;0;0;0;0;0;8.154,10;11.033,80;11.792,10;259;15.097;0;1.842;344;110;7.484,37;927,18;0;91,79%;8,40%;0,00%;0;0;1;0;0;0;0;1;0;0
Kalimantan Barat;Bengkayang;ledo;tidak_cukup;tidak_cukup;tidak_cukup;1.3632637827511507, 109.55086827994346;1.0460908200914973, 109.60748267640712;1.2082488658832746, 109.60247874524836;483;35;0;0;9;7;291;20;1.594;5;714;2;570;0;0;0;0;0;0;0;8.641,40;11.462,40;12.179,40;103;1.372;28;6.935;126;663;2.976,41;84,26;417,61;34,44%;0,74%;3,43%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Bengkayang;lembah bawang;sangat_cukup;tidak_cukup;tidak_cukup;1.1540189110197674, 109.26728743753422;;;185;48;0;0;1;1;30;8;717;3;268;1;103;0;0;0;0;0;0;0;1.418,50;1.934,20;2.083,50;44;2.470;0;1.594;21;50;1.271,48;151,7;0;89,64%;7,84%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Bengkayang;lumar;tidak_cukup;tidak_cukup;tidak_cukup;0.9510461031135042, 109.49232672251486;0.9521882751995571, 109.49320422244325;;237;52;0;0;7;1;214;10;883;2;381;1;176;0;0;0;0;0;0;0;3.751,60;4.628,00;4.866,60;27;15.097;0;519;6;57;780,22;927,18;0;20,80%;20,03%;0,00%;0;1;0;2;0;0;0;1;0;0
Kalimantan Barat;Bengkayang;monterado;sangat_cukup;tidak_cukup;sangat_cukup;0.7577472059252621, 109.14132341462698;0.7757204816322327, 109.13151788399578;;616;50;0;0;13;4;392;24;3.598;8;1.462;3;915;0;0;0;0;0;0;0;13.155,30;17.671,80;18.786,30;1.168;52.152;11.356;4.373;190;1.039;33.751,93;3.202,92;169.371,56;256,57%;18,12%;901,57%;0;0;6;3;0;0;0;1;0;0
Kalimantan Barat;Bengkayang;samalantan;tidak_cukup;tidak_cukup;tidak_cukup;0.8975455681564007, 109.19975531767506;0.8020843391136402, 109.1991618309128;0.9481471855944835, 109.19267377606711;657;221;0;0;17;4;347;23;2.907;8;1.378;5;1221;0;0;0;0;0;0;0;15.981,80;21.994,20;23.440,80;127;16.881;0;3.424;335;483;3.669,94;1.036,75;0;22,96%;4,71%;0,00%;0;0;0;2;0;0;0;2;0;0
Kalimantan Barat;Bengkayang;sanggau ledo;cukup;tidak_cukup;sangat_cukup;1.1409986854117184, 109.69462372882286;1.1589989674130692, 109.69851040143497;1.1449567836729455, 109.69599635688567;487;71;0;0;7;6;382;18;1.781;5;939;4;1.259;0;0;0;0;0;0;0;16.621,30;22.813,40;24.279,30;328;135.183;6.151;4.390;272;3.136;9.478,28;8.302,26;91.740,44;57,02%;36,39%;377,85%;0;0;0;22;0;0;0;3;0;0
Kalimantan Barat;Bengkayang;seluas;cukup;tidak_cukup;tidak_cukup;1.261052346556701, 109.84171451406479;1.2845263482431428, 109.85669752525277;1.4339342660510717, 109.84457581960662;601;57;0;0;6;3;261;23;2.614;7;973;2;506;0;0;0;0;0;0;0;7.748,90;10.260,80;10.920,90;200;5.284;284;5.066;24;632;5.779,44;324,52;4.235,78;74,58%;3,16%;38,79%;0;0;2;13;0;0;0;2;0;0
Kalimantan Barat;Bengkayang;siding;tidak_cukup;tidak_cukup;tidak_cukup;1.4821587695463232, 109.98445767187741;1.2453909181417038, 110.00520735366428;;341;44;0;0;6;1;172;12;828;4;395;2;262;0;0;0;0;0;0;0;4.323,80;5.623,60;5.965,80;16;0;0;1.077;70;1;462,36;0;0;10,69%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Bengkayang;sungai betung;sangat_cukup;tidak_cukup;tidak_cukup;0.8132400836003424, 109.37511790486137;0.8105628751678148, 109.38922298591318;;336;53;0;0;7;1;183;12;1.332;3;668;2;510;0;0;0;0;0;0;0;7.020,20;9.535,20;10.150,20;565;33.761;0;1.606;53;55;16.326,92;2.073,43;0;232,57%;21,75%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Bengkayang;sungai raya;cukup;sangat_cukup;sangat_cukup;0.8805527020259031, 108.93270365142472;0.5749507376590118, 108.92685723013071;0.73432006507926, 108.91800449211328;336;42;0;0;13;2;383;25;2.492;8;1.401;4;784;0;0;0;0;0;0;0;11.715,70;15.590,80;16.565,70;323;4.318.720;392.715;5.084;445;1.522;9.333,80;265.234,19;5.857.234,26;79,67%;1701,22%;35357,60%;0;0;0;4;0;0;0;13;0;0
Kalimantan Barat;Bengkayang;sungai raya kepulauan;cukup;sangat_cukup;sangat_cukup;0.9715564743401913, 108.8922158321435;0.822633934622112, 108.8669230969236;;558;37;0;0;7;3;290;20;2.818;7;1.165;2;837;0;0;0;0;0;0;0;11.436,50;15.565,80;16.576,50;208;1.782.385;5.205;4.097;1.243;1.107;6.010,62;109.465,17;77.631,12;52,56%;703,24%;468,32%;10;3;0;2;0;0;0;27;0;0
Kalimantan Barat;Bengkayang;suti semarang;tidak_cukup;tidak_cukup;cukup;1.1676655203452302, 109.79242324942217;0.8869539661986211, 109.81048544817727;;255;27;0;0;4;2;126;10;672;3;266;1;89;0;0;0;0;0;0;0;2.098,90;2.549,00;2.691,90;6;0;95;1.450;0;0;173,38;0;1.416,90;8,26%;0,00%;52,64%;0;0;0;0;0;0;0;0;0;0
